Sentiment	SentimentText
0	  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
0	  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
1	  Thanks, I need all the help i can get.
1	 - that explains alot.
1	  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
0	  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad.
1	  trae is so sweet! He just bought me a new baithing suit!! Wove him 
1	  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh
0	  u guys knw whyy
0	  very much so 
0	  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
0	--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
0	  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!
0	  where is my picture i feel naked 
0	  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
0	 - Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn
0	  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
1	  wide awake   NOT!!!
1	  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
0	 - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
0	  you'll always be my one and only...  [12*23*2007]
0	 #3turnoffwords this shit sucks
0	 #asylm J2 panel is over. Guess it's back to normal life.
1	 #poemsunder140 ....started by @shannonelyse1
0	 #squarespace brighten my bad day! i never win anything...
0	 #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!
0	 #twenty20
1	 &lt;--- That is all, and believe me.. it's enough!
1	 &lt;3 goooood timessss
